author,comment,likes,publishedAt
@rare774,Thanks sir,0,2022-12-09T22:12:04Z
@Nyzzaaaaa,Hemlo bacchoo 🌜🌛,0,2022-12-09T13:41:37Z
@shri_pandey,This lecture are enough for NEET exam,1,2022-12-08T06:15:52Z
@veganfacts583,Legend are watching this video before 1 day of exam 😁,0,2022-12-06T15:56:40Z
@AshishKhetwal,1 crore 60 lakh students didn&#39;t understand this chapter in schools😂😂,129,2022-12-06T13:53:09Z
@pranitaingalwad3478,❤️,1,2022-12-05T19:15:05Z
@devxdo0432,Legends studying in half yearly examination,26,2022-12-05T03:09:37Z
@SHM729,Thanku so much alakh sir....,1,2022-12-05T00:29:21Z
@tufanifact2531,Best of students are starting class 11best,3,2022-12-04T10:33:50Z
@SukhdevSingh-pz2jz,Allku kase ho,0,2022-12-04T10:24:37Z
@muskanmalhotra4914,🤩🤩🤩🤩🤩🤩,0,2022-12-04T08:47:06Z
@pushkarkumar6855,Sir you are amazing I understand this thank you 💖,1,2022-12-03T13:45:25Z
@njsklearning816,Kon banana physics wala  support  kijea,0,2022-12-03T08:53:35Z
@sunita78600,How get more than 90% of in +1 class,1,2022-12-03T04:46:40Z
@sheikhsufiyaan1799,Helloooo bacccho.....!!!! Physics jese uljhe hue subject ko suljhaya kisne bolo kisne....,0,2022-12-02T17:41:28Z
@rozymarymary3400,I got 99.8%,0,2022-12-02T14:46:12Z
@rohaneditz05,The speciality of Alakh Sir is that he can understand whether a student has understand the concept or not without seeing their faces.,8,2022-12-02T14:42:20Z
@AmarKumar-ys6nd,Is this video enough for jee mains and advanced preparation,2,2022-12-02T02:21:06Z
@Memix100,Kon kon science leke NEET ka exam dena chahata hai 👨‍⚕👨‍⚕👩‍⚕👩‍⚕,4,2022-12-01T16:16:39Z
@dheeraj_paliwal_88,Hi Bros and sis 😊 I teach class 11th / 12th /JEE mains &amp; advanced with best FREE  animated concept based notes and pyqs with explanation 👌. please check the quality of my videos and give your suggestions so that I can improve please...🙏.,1,2022-12-01T05:29:22Z
@dheeraj_paliwal_88,Hi Bros and sis 😊 I teach class 11th / 12th /JEE mains &amp; advanced with best FREE  animated concept based notes and pyqs with explanation 👌. please check the quality of my videos and give your suggestions so that I can improve please...🙏.,1,2022-12-01T05:29:19Z
@CommsTechie,"I wish I had cheap 4G internet like today when I was in school more than a decade back!! <br><br>Internet is miracle students, use it to achieve your dreams ❤",2,2022-11-30T10:01:11Z
@AmaanKhan-ox1go,I go 70.20 percentage on the board exam,0,2022-11-30T08:12:35Z
@namratahamal1234,writing isipasta lekh nuhola,0,2022-11-30T01:45:48Z
@3Dgameron,ur best sir .<br>but VJSir bhi acha pdate hai ..,0,2022-11-29T17:09:16Z
@3Dgameron,PW is best,0,2022-11-29T17:07:32Z
@ZidHaitoJeetHai-pr,Ek question hai,1,2022-11-28T10:15:35Z
@invisible_caiptain,@sommishra4444,2,2022-11-28T02:05:07Z
@ParasJainGroup,Use code 9675RWMA to get 100 off on any batch on pw,0,2022-11-27T15:42:36Z
@darshsavjiyani6652,"Sir i am in 7th standard , <br>I want to study with pw teachers but parents are saying no online classes aakh bigad jaaegi",2,2022-11-27T07:40:35Z
@bisheshsarkar7777,Who are here in 2022,2,2022-11-26T19:03:53Z
@Satya_Sanatan_Hi07,Kon kon iit clear Krna chahata h..........,0,2022-11-26T16:06:54Z
@rohitbaudhbaudh6280,Thank you so much sir,0,2022-11-26T02:20:22Z
@khansaab9126,7 O2 kaise aaya sir,1,2022-11-24T15:23:26Z
@sanemmohansubramanyam7093,Thank you,1,2022-11-24T01:04:29Z
@lateef47,I got 95.7 % in 10th  and you _____?,0,2022-11-23T15:19:19Z
@Cypher00507,"anyone from 2022😂😂😂😂still alakh sir is best and helping us😍<a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a>",2,2022-11-23T14:06:35Z
@richasingh3840,Sir your teaching style is awesome,2,2022-11-23T08:47:48Z
@gyaneshpathak6709,<b>Gay law</b> 🤪🤣🤣🤣🤣 . WTH 😂,2,2022-11-22T15:54:50Z
@mohammedkaleem6070,When u hear about &quot;gay losecs&quot; <br>Then u be like : kiya woh sach me gay tha ya phir us ka naam gay tha <br>Log kaise pukarte honge use aur kya sock kr us ka nam aise rakha hoga <br>Mujhe toh soch kr hi hasin aati hai 😂😂😂🤣🤣,2,2022-11-22T08:42:22Z
@mohammedkaleem6070,Bacchi dikhre ho sir aap iss tshirt me<br>😂😂,1,2022-11-22T08:00:08Z
@publiclearning4880,Love from Bangladesh ❤️🇧🇩,0,2022-11-21T03:05:28Z
@Technical_kuldeep_pandit,what is your percentage in class 10th😅😅,0,2022-11-20T17:33:56Z
@mohamedsaleban8909,O2 is not balanced,0,2022-11-20T17:00:37Z
@meAmberEvans,Someone watching in last months of 2022?,1,2022-11-20T16:30:34Z
@pranavraghuwanshi0529,Ultra legend in 2022,0,2022-11-20T15:38:39Z
@Akshat-zs8hd,who&#39;s watching in 2022-23 😉,4,2022-11-20T13:35:17Z
@rahulsingh2613,🤓,0,2022-11-20T12:21:21Z
@digitalsourab__,White board days are the best<br>Who agree🤧🤧,2,2022-11-20T10:12:53Z
@architkhare9330,OK,0,2022-11-19T14:40:29Z
@architkhare9330,VAIII,0,2022-11-19T14:40:22Z
@architkhare9330,OK,0,2022-11-19T14:40:08Z
@sapnakanwar3092,88 percentage,0,2022-11-18T15:47:05Z
@nandkishorswami5528,The journey from teaching in white board to launching the app and making it one of the best institution of country is really inspiring.,1074,2022-11-18T14:30:41Z
@bharatiburh2100,Thank uh sir😊,0,2022-11-18T14:25:26Z
@umrahkhan4429,Is there any student of session 2022-2023,2,2022-11-18T13:20:50Z
@hiteshkumar5782,🚜🚜🚜🚜🚜😀😉😙😚😆🥰🥰😆🥰😘🥰🤩🤩🥳😭🤣😭😭😭🤣🤣🤣🤣😂😂🤩🥰🥰😍🤩🥳,1,2022-11-17T14:24:08Z
@hiteshkumar5782,😁,0,2022-11-17T14:23:36Z
@hiteshkumar5782,Aap kaise -kaise bol dete h😁,0,2022-11-17T14:20:55Z
@Instagramfunnyvideos1-23,2022 wale like please,5,2022-11-16T13:10:30Z
@samxore._,Is this video enough for jee level exam??? Reply Please...,1,2022-11-16T04:23:43Z
@weareaspirants6111,Only one thing 🫡🫡🫡🫡,0,2022-11-15T17:55:51Z
@vanith7,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=1747"">29:07</a>……sedha maarna heh reciprocal law makes me hyped up💥💥💥",5,2022-11-15T14:25:54Z
@STUDY.INDIA19,Me who is in 9th and having the law of chemical combinations,3,2022-11-13T14:40:35Z
@ravishkumarls8698,Ok,0,2022-11-13T08:07:32Z
@jigyasameena89,Nostalgia 🥺,1,2022-11-12T18:05:18Z
@archi1213,good,1,2022-11-12T08:40:35Z
@Sanjayeduzone,"sanjay Knowledge , physics ke liye this channel is also good",0,2022-11-10T17:23:21Z
@Hamdan_Khan_113,Who get in class10 more than 1000,0,2022-11-10T14:58:16Z
@neetaspirantsuryamondal,I think Chemistry will become favorite subject for only  Alakh Sir♥️🙏...Thank you Sir.,9,2022-11-09T13:38:48Z
@vishwajeetshewale3946,sir ye 0.05 ke liye oxygen ka value 7 by 2 kese hua,0,2022-11-08T16:42:25Z
@manojc437,Very good sir iam the teacher of vani college <br>I also see your videos <br>🤓😎🥰🥰🥰🥰🥰🥰🥰🥰,1,2022-11-08T15:48:48Z
@manojc437,Very good sir iam the teacher of vani college <br>I also see your videos <br>🤓😎🥰🥰🥰🥰🥰🥰🥰🥰,0,2022-11-08T15:48:34Z
@Curioverse111,Who get more than 70% in 2022 class 10th board exam,2,2022-11-08T05:18:44Z
@hii-pj2nu,❤❤<br>❤,2,2022-11-07T11:54:22Z
@nityam_bhagwat_sevya,I hate humans..... 😭😭😭<br> Humans destroyed nature....<br> Humans can&#39;t be trusted....<br>Humans can&#39;t trust another human (his own relative including parents) then imagine how alone he is... These blood relations are just duniya bhar ke chochle... No one cares about you... Even most parents do care  for wanting something in return forget about love....,4,2022-11-06T18:48:45Z
@sharmaji.ka.launda,👇🏿 Anyone 👇🏿 in 👇🏿 2023 👇🏿,7,2022-11-06T03:56:35Z
@raunakkumar9377,<b>I got 93.67% in class 10th.</b>,2,2022-11-05T17:39:28Z
@WORLDOF_ISLAMICTm,30% meraa 10,0,2022-11-05T17:31:35Z
@jayshreekarle8898,My 10 th mark is 83.83%,0,2022-11-05T04:22:41Z
@utkarshchoudhary2245,I also  think  that he is the best teacher on youtube but All of us should understand that commenting &quot;pw is love &quot; again and again and comments asking for likes are getting too much and the helpful comments like timestamps and answers to problems and doubts are not getting in view . I think we should all try to increase helpful comments instead of commenting nonsense again and again.( no offence )😊😊,0,2022-11-03T08:46:49Z
@ManitPlayeezzz,I don&#39;t know what is happening Today in the community  !! <br><br>BUT  Old alakh sir is still emotion 🫀✨,15,2022-11-02T16:58:49Z
@maxoffical9048,I am in class 10 but I am seeing this because my father come to see what I am doing 🤣🤣😂😂,2,2022-11-02T15:00:20Z
@musu78,Legends watching it at  1.75x speed🤭🤣,1,2022-11-02T13:02:01Z
@rishabhwithsanatani,I am got 97.83% in class 10,1,2022-11-02T05:15:55Z
@anonymousownerr,Video ke first 2 minutes me hi band krdiya kuch samajh nhi aaraha basic toh batao direct bhare de rahe ho,2,2022-11-01T20:42:49Z
@anonymousownerr,Basic cheeze hi nhi bataoge sir toh bacche kese padhenge mtlb kuch bhi aapki fan following dekh kr aapki video pr aaya tha lekin aap toh basic hi nhi padhana chahte waah,0,2022-11-01T20:39:08Z
@kittusingh7440,Meko chemistry me achche se achche maks lane k lie coching Karn h,0,2022-11-01T09:48:33Z
@kittusingh7440,Sir mere chemistry bahot veek h,0,2022-11-01T09:47:53Z
@jaerhhahjgga,Sir you are great love u sir from Jaisalmer u change my life thanks u are my god sir,2,2022-10-31T21:01:24Z
@storybyvi692,Dhandhe wallah,8,2022-10-31T02:19:10Z
@ShubhamSingh-iz6oh,Muje alakh sir se mell Kar bhut accha lega,2,2022-10-31T00:21:09Z
@shivamchouhan5077,Please don&#39;t ruin the comment section of this old precious gem.<br>The era in which this video was shot is much different than today.,9,2022-10-30T22:20:52Z
@vrajparekh4709,. . . . . . .  . . . .             . . . . .. . .........................         ....                       .                      .<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>hmm,0,2022-10-30T15:01:47Z
@muskansokhal1381,Pouching walla 😒😒,2,2022-10-30T03:38:02Z
@ashiq1141,Started in a white board and now physics wallah is worth 1billion dollar ❤️,9,2022-10-29T09:08:30Z
@Downtown-r9k,10th standard 99.99 ) present <br>12th standard 98.98) present 🤫🤫🤫🤫🤫🤫😉😉,0,2022-10-29T06:21:44Z
@bharatyadav9678,Wow sir 👌👌👌,1,2022-10-29T01:00:13Z
@fitworld4277,Kya 4 saal pehle alakh sir apko pata tha ki ap ek brand baane wale ho🤌,6,2022-10-28T16:56:11Z
@sunitabisen4196,Very good,0,2022-10-28T15:41:56Z
@sarthaksharma6448,Ssssh,0,2022-10-28T10:08:03Z
@sarjeelalam8790,Me 91.25% from Nepal Board Exam,0,2022-10-27T16:37:55Z
@bhuvanbam8964,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=982"">16:22</a>",0,2022-10-27T10:14:31Z
@uniquexcreation,Who is here in 2022,4,2022-10-27T04:10:31Z
@sujatkhan9315,Laws of combination,1,2022-10-26T17:47:19Z
@VickyKumar-tu1mi,Sir S&amp;O combin ho kar SO banayaga na pls correct,2,2022-10-26T04:23:36Z
@RISHABH-12226,Aane wale 5 saal mai 1m likes done😎🔥,0,2022-10-25T17:25:00Z
@anvitsharma-0,"Sir in <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=1537"">25:37</a> in video, there we have to increase the mass so there is (32) mass of oxygen, and we increase so there will be (48) you  written (64). &quot;&quot;HOW&quot;&quot;",1,2022-10-25T17:17:05Z
@jatin__pvt007,Bro 57 percent 😅,1,2022-10-25T15:56:06Z
@Dragoff12,Let&#39;s see how many legends see this masterpiece when final exam is come 🤣,3,2022-10-25T04:19:44Z
@umeshdoctorvlogs21,Har Ghar khusiyeon wali<br>      शुभ दीपावली 🎇,1,2022-10-24T10:44:05Z
@NscPaperWorld,Nothing is basic in this chapter!!,2,2022-10-23T19:04:22Z
@antimabhatt3400,I got 85 percentage in 10,3,2022-10-22T11:11:42Z
@Pahoclub,Thoko like jisko recommendation me mili ye vedio,0,2022-10-21T16:08:34Z
@nazmakhatoon201,Pagan sir hai Bhai 😫😫😫,0,2022-10-21T14:44:40Z
@213garage,Mera 80% tha,0,2022-10-21T14:06:57Z
@AlokSingh-mf5xb,Maja Aagaya,2,2022-10-20T14:29:12Z
@ramnathrajbhar2584,Aap english   me  padhate hai <br>sir samgh nahi Aata hai,2,2022-10-20T12:20:34Z
@magica4387,Thank you so much sir,2,2022-10-20T11:29:40Z
@RjRishav..,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=180"">3:00</a> alakh sir showing his tattoo E=mc²",7,2022-10-20T08:19:21Z
@bihariladka022,"Sir <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=399"">6:39</a> video frame me 2 me H6 se bhi too multipy hoga na",1,2022-10-20T04:47:56Z
@messifanpage531,Most viewed PW video ❤️,3,2022-10-20T03:55:29Z
@brick5055,5952,0,2022-10-19T16:48:17Z
@payalrajput5206,Thanku so much sir,0,2022-10-19T05:19:49Z
@kapilkumar1234,Students !!!<br>Best of luck for your exam students,0,2022-10-18T17:36:54Z
@logann124,PW 💥,0,2022-10-18T17:01:02Z
@prateekrawatttt,instagram id dedo yaha..,0,2022-10-18T16:29:01Z
@krishnapandey2064,Those who are watching for paper like,0,2022-10-18T15:36:12Z
@PriyankaGupta-tk5fn,Iuh,0,2022-10-17T16:44:58Z
@gauravkanade7456,Hi,1,2022-10-17T11:16:46Z
@ankitkumarmahto274,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=72"">1:12</a>",0,2022-10-17T08:26:23Z
@AshishKumar-yv4zw,Aur sir Bhabhi kaise hai,1,2022-10-16T08:56:56Z
@vinitapaswan6248,👍👍,0,2022-10-16T03:33:46Z
@praveensumanpraveensuman1792,Motivationating,1,2022-10-16T01:59:22Z
@Lyricsedit777,I am 10 claas,2,2022-10-16T00:20:35Z
@captaindxdd,"i have doubt, in chemistry, i in chapter 7",0,2022-10-15T16:13:16Z
@tanishkapokhriyal4287,93 in 10,0,2022-10-15T15:08:43Z
@Gurjxr,16 Million views 🗿 insane,0,2022-10-15T11:19:53Z
@musicalheart3443,Who is here in 2022?,2,2022-10-15T11:10:48Z
@sudhanshugupta7173,Who got 55 percentage,0,2022-10-14T23:51:45Z
@EXW-ASHISH,I have got 99 % on 12,0,2022-10-14T23:13:06Z
@vinesforfun5645,77,0,2022-10-14T09:17:30Z
@HemantSharma-mg3rb,Who is watching this vdeo in 2022,0,2022-10-13T14:21:01Z
@SoulThunder,My class 11 chemistry journey started from here in 2021 April,0,2022-10-13T14:08:38Z
@alexandrew2889,Now pw create a history<br>Hit like if you are pwian,2,2022-10-13T13:33:33Z
@mukeshmeher8949,Who get more then 98.87%,0,2022-10-13T12:09:44Z
@rabindra1242,These videos are like diamonds in a coal mine🙂,1,2022-10-12T17:39:40Z
@allmuslimbrother,I got 30 percentage in my 10th std kon kon fail hua 😂,0,2022-10-12T16:02:41Z
@aman__singh999,52%,0,2022-10-12T16:02:09Z
@harshdubey537,My 71,0,2022-10-12T05:27:50Z
@hridayshah548,jod hai bhai<br>alakh pande,0,2022-10-11T18:52:00Z
@Knika19,thanks sir,1,2022-10-11T17:50:17Z
@vibx133,👁️        👁️<br>       👃🏻<br>       👄,0,2022-10-11T16:24:13Z
@nazirsiddiq5077,All My dear friends <br>10th ki marksheet oor 11th Ki Mohabbat Kahin kam nahin aati<br><br>ALAKH PANDEY,2,2022-10-11T09:08:01Z
@funnyassmiley,👁️    👁️<br>    👃<br>    👄,1,2022-10-11T05:15:27Z
@akmgodyt,Physics wallah sir very nice sir aap achhe padhte ho,2,2022-10-11T03:51:04Z
@suriyalsingh3499,I got 45% only but I think a sheet of paper can&#39;t write my future,0,2022-10-10T14:46:41Z
@Capitalkeera,Hello unicorn,0,2022-10-10T14:41:01Z
@RISHABBISHT,I got 94 % in 10 th class,1,2022-10-10T13:57:23Z
@Zaidfuego1,99.99% in 10th .....left 0.1% germs hain 😭,1,2022-10-10T04:56:29Z
@prayagmishra.,Yes i  am watching this 2022 becouse tomorrow is my exam 🙂,3,2022-10-09T14:56:40Z
@MILIND_YT,66% in 10th,0,2022-10-09T13:32:47Z
@yashvardhankuber1310,Physics wallah is not company it&#39;s an emotion,0,2022-10-09T11:23:41Z
@TondeGamerff1m,Sab log kasam dene wale bande ko hi subscribe karte hai,0,2022-10-09T09:40:32Z
@vinaykandari9910,Thank you sir very much ❤❤❤❤❤❤❤❤,1,2022-10-09T08:29:05Z
@worldofentertainment2361,Aap bahut acche se samjhate hai,0,2022-10-09T06:52:27Z
@saurabhpandey9851,Sir you are the best teacher in this whole world love you sir from jharkhand ❤❤,0,2022-10-09T05:03:07Z
@harsh-nc07,Form form main yahi se shuru kiya tha ab kuch yaad nahi hai 🥲,0,2022-10-08T17:46:29Z
@PravikGaming01,I got 96.70 % in maharashtra board in class 10th,1,2022-10-08T15:38:09Z
@rohitshah1204,Is chemistry and physics is very difficult in class 11-12  kya kisi average students ko ye sab samj aa Sakta hai...???,0,2022-10-08T10:01:15Z
@rohitshah1204,Mai abhi resently hi class 11 me aai hu..  Ye mai chemistry ke 1st chapter ka video lecture dekne ja rahi hu.. or isase pahele Maine book me ye chapter ke pages deke joki bahut ajib words me likhe hue te.. mai isko dekne  se Pehle ye puchna chahti hu.. ki kya chemistry and physics easy hai...? Kisi ko kuch samj me aata hai ye sab kuch...??? Pls... anyone reply me... 😪😓😰😵,1,2022-10-08T09:56:25Z
@UnknownYt_4545,Legends are watching this video because they didn&#39;t understood this is college 🤣,0,2022-10-08T09:17:17Z
@ReshamKhan1409,Class 11 Batch - 2022-2023 🔥<br>Best of Luck Guys 🤞😀,1,2022-10-08T05:58:20Z
@sabitrimohanty2614,98 percent,0,2022-10-07T15:17:44Z
@truthpositive7509,Alak sir is best than our college sir😁,0,2022-10-07T13:53:47Z
@sarthakchaudhary338,thanks sir,0,2022-10-07T12:06:19Z
@agcodes,ironically the most watched video of physicswallah channel is a &quot;chemistry lecture&quot;,2,2022-10-07T05:35:05Z
@pujabehera4095,Opppp teaching 🔥🔥🎉🎉🎉🎉🔥🔥🔥🔥,2,2022-10-07T02:50:47Z
@tarunbangrwa6337,Class 11th 2022-23 all the best guys🎉🎉🎉,3,2022-10-06T15:31:51Z
@nsgprabh9521,only legend watching this video after 3 years 😂😂,3,2022-10-05T14:18:14Z
@juveriyashaikh7400,1.5 crore views completed 🎉🎉🎉,2,2022-10-05T12:02:16Z
@rahulchoudhary11,Bhai law of definite proportion main magnesium ki jagah manganeese bol rahe ho,0,2022-10-05T08:21:01Z
@hiteshshekhawat3346,GBU SUIIR.     CR7 SUIIIIIIIIIIIII,1,2022-10-03T13:36:34Z
@judh949,Very very wrong,0,2022-10-02T05:27:09Z
@firestorm7829,Today is Sir Birthday AlakhPandey <br>           🎇🎇👍👍 Celebrate Anyone <br>Wish AlakhPandey Sir 🎇🎇✨ Guys👍 Tag🤹 Happy Birthday Day Alakh Sir,1,2022-10-02T01:02:44Z
@begulabeluga4240,Ayy Happy Birthday Sir ❤️❤️❤️❤️🌝🙌,0,2022-10-01T18:50:28Z
@Malongk,Sir arjuna 3.0 me khazana jaldi laye,0,2022-09-30T20:32:12Z
@sakshamtayal1234,I have bought arjuna batch but completing backlogs from here 🤣,4,2022-09-30T19:27:42Z
@shyamshyam957,S.sar,0,2022-09-30T14:48:28Z
@malikkamil170,Watching it in 2022 still best .HATS OFF to you sir.,6,2022-09-28T17:06:43Z
@clips1339,I am A NEET Aspirant and I am Preparing for neet 2024.Does there is anybody who got good marks in neet after watching this video.I want to know that this video is for neet or not.Pls let me know.,1,2022-09-28T14:57:19Z
@koushik_kd,"LAW OF CONSERVATION OF MASS <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=68"">1:08</a><br>LAW OF DEFINITE PROPORTION <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=582"">9:42</a>     <br>LAW OF MULTIPLE PROPORTION <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=982"">16:22</a>   <br>LAW OF RECIPROCAL PROPORTION <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=1632"">27:12</a>    <br>GAY LUSSAC&#39;S  LAW FOR GASES <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=2157"">35:57</a>   <br>AVAGADRO&#39;S HYPOTHESIS <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=2564"">42:44</a>",112,2022-09-28T11:09:42Z
@clips1339,Can i use this video for neet preparation?,2,2022-09-27T15:19:29Z
@prince-ov4qb,Sir muja exam ka liya tayar karavo,0,2022-09-27T15:13:19Z
@daksheshsharma7020,Me after unicorn 🦄,0,2022-09-27T14:19:48Z
@truckindialogisticstil4243,"Dear bhaiya ji I&#39;m a student of class 10 I&#39;m so nervous about my exam i Don&#39;t know what to do,what to read, even i had done all of my chapters but i don&#39;t understand all the previous year question please tell me bhaiya ji how to do that and can get 90+ in my boards",0,2022-09-26T14:22:19Z
@wasimakram3302,Thanks  sir 💖,0,2022-09-26T14:16:23Z
@kingayush1265,I m here before 1 day of exam,1,2022-09-26T14:14:38Z
@AntidoteFactsYT,"RIP LEGEND <a href=""UCkszU2WH9gy1mb0dV-11UJg/Rf90XtDbG8GQ8gTz_prwAg""></a>",0,2022-09-26T12:20:25Z
@MSgurzar,Sir muhja chemistry samaj Mai bhi Ati,1,2022-09-26T11:12:32Z
@Shreyaspan,Thank you Sir 💯💯💯✅❤️❤️❤️🙃🙂🙂🙂🙂,0,2022-09-26T03:44:16Z
@rakeshsahu8335,D,0,2022-09-25T17:30:16Z
@mensguru,कौन कौन PW बनने के बाद देख रहा है ❤️🙏💪,1,2022-09-25T16:03:08Z
@rajeshseveta5622,Kya aap bhi meri tarah comment padhne aaye ho   to thoko like 😂,6,2022-09-25T13:52:46Z
@Vijaykumar-zl4dh,Halo sir,2,2022-09-25T11:34:56Z
@Vijaykumar-zl4dh,😍🥰🥰🥰😍,1,2022-09-25T11:34:48Z
@mayankbhardwaj9543,BEST OF LUCK ALL NEWLY BUDDIES,1,2022-09-25T11:27:32Z
@Vijaykumar-zl4dh,Hani tub thik,1,2022-09-25T11:25:34Z
@himanshugamer3133,Best of luck all students 💓💓,1,2022-09-25T03:15:00Z
@CHANDLER.5,My attendance was 19.57% in 10th but then also because of this guy I was able to score 92% in boards. He is AMAZING.....,137,2022-09-24T11:42:57Z
@T.All.00,Yes hello sir ☺️,0,2022-09-24T07:31:51Z
@_blamac_,Hehehe yo new students,2,2022-09-23T15:18:06Z
@ktgamingyt876,Padhlo chahe kahi se Selection hoga yahin se Youth ka concept chamkega inhe kon padhane wallah - Physics Wallah Physics Wallah 😁💓😊,3,2022-09-23T05:12:46Z
@kunalghule5776,Legends are watching this legend after 4 years 🔥🔥🔥,5,2022-09-22T14:52:53Z
@rohitraikwar6843,Best of luck for 2022-2023 also me included😂🤣😂,4,2022-09-22T14:37:04Z
@rohitraikwar6843,Kaun paper se pehle dekh raha hai😂🤣😂,5,2022-09-22T14:35:04Z
@dhan_boro,Is this for jee or boards,0,2022-09-22T10:18:16Z
@jeeaspirant5631,Lengeds who come here to study but still time waste to see coments 😅,11,2022-09-22T06:58:11Z
@ayezanoor4519,Thanks alot this is very helpful ❤,0,2022-09-21T16:19:26Z
@अपनाबिहार12,Ligand are watching in 2022😃🤣🤣🤣🤣😅,4,2022-09-21T15:52:11Z
@jagseersingh6023,Amazing ❣️,0,2022-09-21T15:33:04Z
@ikramraza9887,Any jee dropper watching in 2022?,1,2022-09-21T11:05:27Z
@msqueen6953,Thank you so much sir 🙏☺️,0,2022-09-21T09:54:48Z
@ashishchoudhary5258,Tommorow is my paper,0,2022-09-21T08:36:55Z
@Memories14581,Legends watching this video just 1 day before exams at 2x😅😂😂,4,2022-09-21T03:39:23Z
@tractor-iq2tg,Ok👌,1,2022-09-21T03:18:52Z
@Jamunlaal33,10 hrs before my chem half yearly 😁🐐,3,2022-09-20T17:40:23Z
@aakash007yt7,Bhai ipad ka password bata de,2,2022-09-20T16:00:44Z
@Maharaj_ji7,I am a very weak student in student in all subjects 😢😢😢 pls help me sir show me a way to do something . What teachers said I cannot understand . Pls help me sir😭😭😭😭,3,2022-09-20T14:57:28Z
@harjitchauhan7522,Ugf hospitalisation,1,2022-09-20T14:35:19Z
@adityaprogrammer6519,Who is here before one day of half yearly exam,3,2022-09-20T14:17:18Z
@SandeepKumar-pk6ld,Sir mujhe camestri samjha aa rahi h,1,2022-09-20T12:18:28Z
@inactiveblud,Bhai Aaj serious huya hu🥲,3,2022-09-19T16:09:47Z
@nopantsoobin,abhi smj aarha hai ki parai shuru kardeni chahiye 🥲🤌,4,2022-09-19T15:35:10Z
@rupug2465,"Hlo sir, <br>Yesterday was my exam and I got full marks bcz of u thankuu sirr so much. I am really inspired bcz of uh .u r the legend",17,2022-09-19T15:21:11Z
@suneetabhat2210,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=1119"">18:39</a>",0,2022-09-19T13:09:51Z
@gmackyoutube1,22k comments complete ✅,0,2022-09-19T12:48:37Z
@zaxarkff6563,2 days before half-yearly jisme abhi bhi 4 ch bache hri,4,2022-09-19T11:27:56Z
@deepikasonker9611,Seeing just 1 day before exam 😁,5,2022-09-19T09:47:24Z
@jeeaspirant5631,Legends are those who wach it in october 2022,4,2022-09-19T07:28:54Z
@sharktank9,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=945"">15:45</a>",3,2022-09-19T06:24:45Z
@ashishsharma_06,Alakh sir❤️,2,2022-09-19T04:07:03Z
@jeetsinghbais8442,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=2564"">42:44</a> avagrado",2,2022-09-18T17:34:45Z
@devxxhh,"Anyone at 2022,September👀😹",8,2022-09-18T16:29:52Z
@faboy01,Hlllloooooo bachhhhooooooo,4,2022-09-18T15:50:15Z
@OPH0007,Gay lussac?  Sus name 🐰,4,2022-09-18T12:13:24Z
@isurajkaushik,Study for tomorrow&#39;s half yearly exam,3,2022-09-18T11:47:53Z
@divine9379,"<a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=1621"">27:01</a> to <a href=""https://www.youtube.com/watch?v=Qy0Q_AYs63Y&amp;t=2156"">35:56</a>",0,2022-09-18T10:46:35Z
@Krishnaasingh5084,Sir aap really bahut achcha padhaate Ho,1,2022-09-18T09:54:16Z
@ManishThakur-nr7ln,🙏🙏🙏🙏🙏👍👍👍🇮🇳🇮🇳🇮🇳,1,2022-09-18T06:19:10Z
@Dark_devil90,Kyu Diya Maine bola tha 🥲🥲🥲🥲😭😭😭,1,2022-09-17T14:12:21Z
@samernandwani7177,Kuch na smjh aarha,0,2022-09-17T14:07:56Z
@ramrudrapatel7019,Hello sir,0,2022-09-17T11:08:25Z
